country,user,ordernum,orderstatus,date_ordered,channel
UK,15c9f,cd0a4,finished,"2019-03-17 00:00:00",direct
UK,1c505,c5461,finished,"2019-04-17 00:00:00",direct
UK,1f24e,9d28c,cancelled,"2019-03-02 00:00:00",others
UK,7a10b,5df8d,finished,"2019-01-21 00:00:00",direct
UK,7a10b,809ab,finished,"2019-01-23 00:00:00",others
USA,d9dba,f526a,finished,"2019-03-13 00:00:00",others
UK,eea7a,e1b3b,finished,"2019-05-13 00:00:00",direct
UK,f29c5,3b552,finished,"2019-04-30 00:00:00",social
UK,f4e54,310a8,finished,"2019-04-23 00:00:00",social
UK,250d7,247dc,finished,"2019-03-04 00:00:00",social
UK,27812,7b480,finished,"2019-05-12 00:00:00",social
UK,5ac44,2753b,finished,"2019-04-12 00:00:00",social
UK,5fd46,fb355,finished,"2018-12-28 00:00:00",google
UK,5fd46,e6d49,finished,"2019-04-15 00:00:00",social
UK,63f71,573b5,cancelled,"2019-02-24 00:00:00",direct
USA,68f25,9af08,cancelled,"2019-04-28 00:00:00",direct
UK,691b7,b563c,finished,"2019-02-05 00:00:00",direct
UK,76afe,4cdae,finished,"2019-04-05 00:00:00",direct
UK,76afe,b7e4d,finished,"2019-05-16 00:00:00",others
USA,8aec1,79e30,finished,"2019-04-06 00:00:00",social
USA,8aec1,1f30e,finished,"2019-05-14 00:00:00",others
UK,90115,dc813,cancelled,"2019-03-23 00:00:00",social
UK,a13a7,57cfc,finished,"2019-01-22 00:00:00",google
UK,b35b8,5fc39,cancelled,"2018-12-17 00:00:00",social
UK,cef35,ac81a,finished,"2019-04-17 00:00:00",social
UK,ece80,83c69,finished,"2019-02-04 00:00:00",direct
UK,ece80,ccd19,finished,"2019-02-20 00:00:00",others
UK,1ff04,77a3c,cancelled,"2019-02-15 00:00:00",direct
UK,1ff04,3d49c,cancelled,"2019-05-16 00:00:00",social
UK,23cc6,d518e,finished,"2019-04-26 00:00:00",direct
UK,3171e,5b9c4,finished,"2019-04-04 00:00:00",google
UK,3ac5c,584ee,finished,"2019-03-07 00:00:00",direct
USA,61d39,274cd,finished,"2019-05-13 00:00:00",direct
UK,71c86,98b4f,finished,"2019-03-12 00:00:00",direct
UK,784bc,3e3ab,finished,"2018-12-26 00:00:00",direct
UK,784bc,e1c8b,finished,"2019-04-28 00:00:00",google
UK,c12c2,acf25,finished,"2019-04-08 00:00:00",direct
UK,c12c2,e97a5,finished,"2019-04-24 00:00:00",direct
UK,d88aa,7b44f,finished,"2019-04-14 00:00:00",google
UK,dbec3,d7691,finished,"2019-05-16 00:00:00",google
UK,e21e9,65885,finished,"2019-01-04 00:00:00",direct
UK,24c61,f662b,cancelled,"2019-03-05 00:00:00",direct
UK,35d83,a74df,finished,"2019-01-26 00:00:00",google
