Market,audience,Campaign,Clicks,Cost,Impressions,fees
NZ,Oldies,Google,414,6.46,556,7.0606
NZ,Children,Google,606,15.77,803,17.3947
NZ,Retention,Facebook,146,5.23,178,5.6953
NZ,Oldies,Email,183,34.57,451,38.2627
NZ,Children,Email,40,6.71,137,7.3381
NZ,Adults,Google,29,6.78,57,7.4158
NZ,Retention,Facebook,1,1,2,1
NZ,Oldies,Email,12,5.78,282,6.3058
NZ,Children,Email,115,42.54,2334,47.1094
NZ,Adults,Google,3,1.7,31,1.777
NZ,Retention,Google,2,2.43,13,2.5873
NZ,Oldies,Google,2597,1167.26,337968,1295.5486
NZ,Children,Google,58,46.5,3235,51.505
NZ,Adults,Google,39,27.01,2260,29.8711
NZ,Retention,Google,5,3.71,381,4.0081
IND,Oldies,Google,753,35.03,1087,38.7733
IND,Children,Google,311,15.64,416,17.2504
IND,Adults,Google,562,28.75,784,31.8025
IND,Retention,Google,64,5.27,88,5.7397
IND,Oldies,Google,364,74.91,915,83.0401
IND,Children,Google,148,25.08,480,27.7288
IND,Adults,Email,138,26.63,290,29.4493
IND,Retention,Email,13,3.35,19,3.6085
IND,Oldies,Email,34,12.68,630,13.9648
IND,Children,Email,104,829.47,2627,920.6017
IND,Oldies,Email,317,133.78,28241,148.3858
IND,Children,Email,6,3.51,445,3.7861
IND,Adults,Facebook,35,23.18,2969,25.6198
IND,Retention,Facebook,3,2.26,91,2.3986
CH,Oldies,Facebook,555,29.2,702,32.302
CH,Children,Facebook,108,4.48,161,4.8628
CH,Adults,Facebook,107,7.44,123,8.1484
CH,Retention,Facebook,15,2.23,20,2.3653
CH,Oldies,Facebook,216,51.56,380,57.1216
CH,Children,Facebook,32,10.07,71,11.0677
CH,Adults,Facebook,70,13.39,91,14.7529
CH,Retention,Facebook,3,1.67,5,1.7437
CH,Oldies,Facebook,23,17.63,454,19.4593
CH,Children,Facebook,11,6.11,110,6.6721
CH,Adults,Facebook,9,8.56,46,9.3916
CH,Oldies,Facebook,181,176.95,20367,196.3045
CH,Children,Facebook,14,15.73,920,17.3503
CH,Adults,Facebook,27,37.33,1513,41.3263
CH,Retention,Facebook,4,5.81,55,6.3391
AUS,Oldies,Facebook,2638,38.87,4322,43.0357
AUS,Children,Facebook,2913,85.97,4045,95.3167
AUS,Adults,Facebook,7176,206.52,9285,229.1272
AUS,Retention,Facebook,1484,48.07,1868,53.2477
AUS,Oldies,Facebook,645,158.09,2003,175.3699
AUS,Children,Facebook,1659,595.54,4857,660.9394
AUS,Adults,Facebook,1084,307.49,2848,341.2039
AUS,Retention,Facebook,134,40.69,332,45.0559
AUS,Oldies,Facebook,29,11.83,645,13.0213
AUS,Children,Facebook,2655,1065.35,33406,1182.4285
AUS,Adults,Facebook,113,82.95,1814,91.9645
AUS,Retention,Facebook,21,17.19,285,18.9709
AUS,Oldies,Facebook,3761,622,363862,690.31
AUS,Children,Google,1799,285.76,109073,317.0836
AUS,Adults,Facebook,1430,207.95,68844,230.7145
AUS,Retention,Email,2,1.07,203,1.0777
AUS,Oldies,Google,2114,1265.89,196584,1405.0279
AUS,Children,Google,189,157.49,10805,174.7039
AUS,Adults,Facebook,1472,1157.85,100938,1285.1035
AUS,Retention,Email,136,106.36,9061,117.9496
RSA,Oldies,Google,165,10.09,222,11.0899
RSA,Children,Facebook,49,4.47,80,4.8517
RSA,Retention,Email,16,2.91,23,3.1201
RSA,Oldies,Email,24,4.31,94,4.6741
RSA,Children,Google,15,3.46,37,3.7306
RSA,Adults,Facebook,2,1.28,9,1.3108
RSA,Retention,Email,2,1.01,3,1.0111
RSA,Oldies,Facebook,143,66.36,14797,73.5496
RSA,Children,Facebook,10,5.87,1027,6.4057
RSA,Adults,Google,8,4.85,692,5.2735
RSA,Retention,Facebook,2,1.78,107,1.8658
NZ,Oldies,Email,730,13.18,1021,14.5198
NZ,Children,Facebook,1052,30.13,1363,33.3343
NZ,Retention,Email,256,10.98,308,12.0778
NZ,Oldies,Email,283,54.37,703,60.2407
NZ,Children,Email,93,22.19,260,24.5209
NZ,Adults,Email,43,10.23,97,11.2453
NZ,Oldies,Email,141,62.37,3504,69.1207
NZ,Children,Email,195,103.86,3536,115.1746
NZ,Adults,Email,70,59,656,65.38
NZ,Retention,Email,7,12.74,125,14.0314
NZ,Oldies,Email,5980,2778.09,791903,3083.5699
